Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Season,Player_Clean,Team_Clean,MPG,PPG,RPG,APG,Significant_Player,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Reliable_Advanced_Stats,Current_Salary,Salary_Tier,Salary_Millions,Has_Salary_Data,Points_Per_Million,WinShares_Per_Million,VORP_Per_Million,Career_Stage,PER_Percentile,VORP_Percentile,BPM_Percentile,WS_Percentile,Performance_Score,Position_Adjusted_Score,Age_Adjustment,Age_Adjusted_Performance,Games_Played_Pct,Heavy_Minutes,Starter_Flag,Durability_Score,Predicted_Salary_Millions,Salary_Premium,Value_Rating,Contract_Type,Value_Classification,Contract_Risk,Salary_Millions_sum,Salary_Millions_mean,Salary_Pct_of_Team,Team_Salary_Rank,Team_Role,League_Salary_Percentile,Position_Market_Salary,Position_Salary_Premium,PER_YoY_Change,PER_Trend,VORP_YoY_Change,VORP_Trend,Performance_Score_YoY_Change,Performance_Score_Trend,Years_Experience,Career_Games,Career_Minutes,PER_Consistency,PPG_Consistency,Performance_Score_Consistency,PER_Career_High,PER_Pct_of_Career_High,VORP_Career_High,VORP_Pct_of_Career_High,Performance_Score_Career_High,Performance_Score_Pct_of_Career_High,Potential_Contract_Year,Age_Arc_Multiplier,Projected_Performance
156.0,Aaron Gordon,25.0,2TM,PF,50.0,50.0,1384.0,231.0,499.0,0.463,59.0,176.0,0.335,172.0,323.0,0.533,0.522,97.0,149.0,0.651,77.0,207.0,284.0,161.0,33.0,34.0,97.0,89.0,618.0,1.0,,2021,Aaron Gordon,2TM,27.68,12.36,5.68,3.22,True,14.5,0.547,0.353,0.299,6.0,16.4,11.1,17.8,1.2,2.3,14.7,20.7,0.7,1.2,1.9,0.066,0.2,-0.1,0.1,0.7,True,,,,False,,,,Developing,64.14048059149722,74.21441774491682,69.87060998151571,59.70425138632163,67.20425138632163,22.674,0.95,63.84403881700555,0.6944444444444444,0,1,0.6934666666666667,18.160924690000012,,,Unknown,No_Salary_Data,No_Data,0.0,,0.0,999.0,Starter,0.0,,0.0,-0.5999999999999996,-0.5999999999999996,-0.30000000000000004,-0.30000000000000004,-5.324050500470818,-5.324050500470818,2,112.0,3401.0,0.02866649112918434,0.10875420861267518,0.053883967967067944,15.1,96.02649006622516,1.0,70.0,72.52830188679245,92.65934764503243,0,1.05,70.56446395563772
64.0,Aaron Gordon,26.0,DEN,PF,75.0,75.0,2376.0,434.0,834.0,0.52,87.0,260.0,0.335,347.0,574.0,0.605,0.573,171.0,230.0,0.743,125.0,314.0,439.0,188.0,44.0,44.0,133.0,148.0,1126.0,0.0,,2022,Aaron Gordon,DEN,31.68,15.013333333333334,5.8533333333333335,2.506666666666667,True,15.3,0.602,0.312,0.276,6.1,14.3,10.3,11.6,0.9,1.7,12.5,19.7,3.2,2.0,5.2,0.105,0.5,-1.1,-0.6,0.9,True,,,,False,,,,Developing,71.03960396039604,77.97029702970298,61.71617161716172,87.70627062706271,73.77475247524754,24.634666666666664,0.95,70.08601485148516,0.9146341463414634,1,1,0.8655804878048781,19.76818,,,Unknown,No_Salary_Data,No_Data,0.0,,0.0,999.0,Starter,0.0,,0.0,0.8000000000000007,0.8000000000000007,0.20000000000000007,0.20000000000000007,6.570501088925909,6.570501088925909,3,187.0,5777.0,0.027817363021819155,0.09995592833825559,0.049034791961160326,15.3,100.0,1.0,90.0,73.77475247524754,100.0,0,1.05,77.46349009900992
83.0,Aaron Gordon,27.0,DEN,PF,68.0,68.0,2055.0,429.0,761.0,0.564,60.0,173.0,0.347,369.0,588.0,0.628,0.603,191.0,314.0,0.608,164.0,282.0,446.0,203.0,54.0,51.0,98.0,129.0,1109.0,0.0,,2023,Aaron Gordon,DEN,30.22058823529412,16.308823529411764,6.5588235294117645,2.985294117647059,True,19.5,0.617,0.227,0.413,9.4,15.4,12.5,14.2,1.3,2.2,9.8,21.1,4.6,2.2,6.8,0.158,2.4,-0.3,2.1,2.1,True,,,,False,,,,Developing,88.70370370370371,90.46296296296296,87.31481481481481,92.5,89.55555555555554,27.485294117647058,1.0,89.55555555555554,0.8192771084337349,1,1,0.7937721474131821,26.425698349999998,,,Unknown,No_Salary_Data,No_Data,0.0,,0.0,999.0,Starter,0.0,,0.0,4.199999999999999,4.199999999999999,1.2000000000000002,1.2000000000000002,15.780803080308004,15.780803080308004,4,255.0,7832.0,0.16343397223921854,0.13824487490871112,0.14949046986434641,19.5,100.0,2.1,100.0,89.55555555555554,100.0,1,1.05,94.03333333333332
93.0,Aaron Gordon,28.0,DEN,PF,73.0,73.0,2297.0,398.0,716.0,0.556,40.0,138.0,0.29,358.0,578.0,0.619,0.584,177.0,269.0,0.658,174.0,297.0,471.0,259.0,56.0,45.0,105.0,142.0,1013.0,0.0,,2024,Aaron Gordon,DEN,31.46575342465753,13.876712328767123,6.452054794520548,3.547945205479452,True,16.8,0.607,0.193,0.376,8.6,13.9,11.4,15.2,1.2,1.7,11.2,17.8,4.5,2.6,7.1,0.148,1.2,0.1,1.3,1.9,True,,,,False,,,,Prime,78.62129144851659,90.31413612565446,80.7155322862129,93.97905759162303,85.13961605584643,25.358904109589044,1.0,85.13961605584643,0.8690476190476191,1,1,0.8360861056751467,20.440988810000004,,,Unknown,No_Salary_Data,No_Data,0.0,,0.0,999.0,Starter,0.0,,0.0,-2.6999999999999993,-2.6999999999999993,-0.20000000000000018,-0.20000000000000018,-4.415939499709111,-4.415939499709111,5,328.0,10129.0,0.1237430038011207,0.08077105331493913,0.09829841961222457,19.5,86.15384615384616,2.1,90.47619047619047,89.55555555555554,95.06905018642902,1,1.0,85.13961605584643
139.0,Aaron Gordon,29.0,DEN,PF,51.0,42.0,1447.0,264.0,497.0,0.531,75.0,172.0,0.436,189.0,325.0,0.582,0.607,145.0,179.0,0.81,80.0,167.0,247.0,164.0,23.0,14.0,73.0,82.0,748.0,0.0,,2025,Aaron Gordon,DEN,28.37254901960784,14.666666666666666,4.8431372549019605,3.215686274509804,True,17.0,0.65,0.346,0.36,6.4,12.1,9.4,15.0,0.8,0.9,11.3,19.0,3.6,0.7,4.3,0.143,2.7,-1.5,1.2,1.2,True,22841455.0,Star,22.841455,True,32.74747602549838,0.1882542070984532,0.0525360577949171,Prime,78.0701754385965,81.49122807017544,79.82456140350878,81.9298245614035,80.1359649122807,22.921568627450977,1.0,80.1359649122807,0.6219512195121951,0,1,0.6568962219033955,23.44830687000002,-2.588041317287744,3.5083564034025283,Near_Max,Fair_Value,Low_Risk,178.09,22.26,12.82579313830086,4.0,Key_Player,72.14611872146118,12.5,82.73164,0.1999999999999993,0.1999999999999993,-0.7,-0.7,-5.003651143565733,-5.003651143565733,6,379.0,11576.0,0.08467755419434714,0.08298523069018854,0.055482035605866245,19.5,87.17948717948718,2.1,57.14285714285714,89.55555555555554,89.48184667624398,0,1.0,80.1359649122807
574.0,Aaron Henry,22.0,PHI,SF,6.0,0.0,17.0,1.0,5.0,0.2,0.0,1.0,0.0,1.0,4.0,0.25,0.2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,,2022,Aaron Henry,PHI,2.833333333333333,0.3333333333333333,0.1666666666666666,0.0,False,0.0,0.2,0.2,0.0,0.0,6.5,3.3,0.0,0.0,10.6,28.6,18.5,-0.1,0.0,-0.1,-0.306,-14.0,-2.4,-15.0,-0.1,False,,,,False,,,,Rookie/Young,2.4752475247524752,24.834983498349835,1.4851485148514851,5.445544554455446,8.411716171617162,0.8,0.85,7.149958745874587,0.07317073170731707,0,0,0.07223577235772358,2.330899059999999,,,Unknown,No_Salary_Data,No_Data,0.0,,0.0,999.0,Bench_Player,0.0,,0.0,,,,,,,1,6.0,17.0,,,,0.0,0.0,-0.1,100.0,8.411716171617162,100.0,0,1.1,9.252887788778878
151.0,Aaron Holiday,23.0,IND,PG,66.0,33.0,1617.0,233.0,563.0,0.414,87.0,221.0,0.394,146.0,342.0,0.427,0.491,74.0,87.0,0.851,22.0,134.0,156.0,225.0,55.0,16.0,88.0,120.0,627.0,0.0,,2020,Aaron Holiday,IND,24.5,9.5,2.363636363636364,3.409090909090909,True,11.6,0.521,0.393,0.155,1.5,9.0,5.3,19.1,1.7,0.9,12.8,18.7,0.4,1.7,2.1,0.063,-1.6,0.0,-1.6,0.2,True,,,,False,,,,Rookie/Young,41.41509433962264,57.35849056603774,45.28301886792453,61.79245283018868,50.443396226415096,17.472727272727273,0.85,42.87688679245283,0.8918918918918919,0,0,0.7801351351351351,6.2218932,,,Unknown,No_Salary_Data,No_Data,0.0,,0.0,999.0,Bench_Player,0.0,,0.0,,,,,,,1,66.0,1617.0,,,,11.6,100.0,0.2,100.0,50.443396226415096,100.0,0,1.1,55.48773584905661
203.0,Aaron Holiday,24.0,IND,PG,66.0,8.0,1176.0,170.0,436.0,0.39,67.0,182.0,0.368,103.0,254.0,0.406,0.467,68.0,83.0,0.819,15.0,74.0,89.0,123.0,46.0,13.0,66.0,94.0,475.0,0.0,,2021,Aaron Holiday,IND,17.818181818181817,7.196969696969697,1.3484848484848484,1.8636363636363635,True,9.2,0.503,0.417,0.19,1.4,6.8,4.1,14.0,1.8,0.9,12.3,19.5,-0.6,0.8,0.2,0.009,-3.3,-0.9,-4.2,-0.7,True,,,,False,,,,Developing,20.42513863216266,2.4029574861367835,18.76155268022181,21.996303142329023,15.817929759704253,11.94090909090909,0.95,15.02703327171904,0.9166666666666666,0,0,0.7281818181818182,5.157553980000002,,,Unknown,No_Salary_Data,No_Data,0.0,,0.0,999.0,Bench_Player,0.0,,0.0,-2.4000000000000004,-2.4000000000000004,-0.8999999999999999,-0.8999999999999999,-34.62546646671085,-34.62546646671085,2,132.0,2793.0,0.16317848796612638,0.1950639396376683,0.7390103284527574,11.6,79.31034482758619,0.2,-349.99999999999994,50.443396226415096,31.357781083386026,0,1.05,16.608826247689468
263.0,Aaron Holiday,25.0,2TM,PG,63.0,15.0,1021.0,151.0,338.0,0.447,39.0,103.0,0.379,112.0,235.0,0.477,0.504,59.0,68.0,0.868,24.0,98.0,122.0,153.0,42.0,9.0,67.0,92.0,400.0,0.0,,2022,Aaron Holiday,2TM,16.206349206349206,6.349206349206349,1.9365079365079363,2.4285714285714284,True,12.6,0.544,0.305,0.201,2.6,10.3,6.5,20.7,2.0,0.7,15.4,18.7,0.5,0.9,1.5,0.068,-1.9,0.3,-1.7,0.1,True,,,,False,,,,Developing,49.257425742574256,54.042904290429036,46.864686468646866,55.28052805280528,51.06023102310231,12.285714285714285,0.95,48.507219471947195,0.7682926829268293,0,0,0.6230391018195895,3.7338348500000005,,,Unknown,No_Salary_Data,No_Data,0.0,,0.0,999.0,Bench_Player,0.0,,0.0,3.4000000000000004,3.4000000000000004,0.7999999999999999,0.7999999999999999,35.24230126339806,35.24230126339806,3,195.0,3814.0,0.15695020864767856,0.2122409427934223,0.5157989475881077,12.6,100.0,0.2,50.0,51.06023102310231,100.0,0,1.05,53.61324257425743
326.0,Aaron Holiday,26.0,ATL,PG,63.0,6.0,845.0,92.0,220.0,0.418,36.0,88.0,0.409,56.0,132.0,0.424,0.5,27.0,32.0,0.844,25.0,49.0,74.0,89.0,37.0,12.0,36.0,79.0,247.0,0.0,,2023,Aaron Holiday,ATL,13.412698412698411,3.920634920634921,1.1746031746031746,1.4126984126984128,True,9.4,0.528,0.4,0.145,3.2,6.4,4.8,13.0,2.1,1.2,13.3,13.4,0.3,0.6,0.9,0.053,-2.9,0.9,-2.0,0.0,True,,,,False,,,,Developing,20.37037037037037,38.333333333333336,40.55555555555556,39.53703703703704,33.74074074074075,7.72063492063492,0.95,32.05370370370371,0.7590361445783133,0,0,0.589548670873972,3.372328809999999,,,Unknown,No_Salary_Data,No_Data,0.0,,0.0,999.0,Bench_Player,0.0,,0.0,-3.1999999999999993,-3.1999999999999993,-0.1,-0.1,-17.319490282361564,-17.319490282361564,4,258.0,4659.0,0.18344984642633572,0.29207518321184034,0.5254085775779183,12.6,74.60317460317461,0.2,0.0,51.06023102310231,66.08027434398932,1,1.05,35.427777777777784
216.0,Aaron Holiday,27.0,HOU,PG,78.0,1.0,1269.0,186.0,417.0,0.446,84.0,217.0,0.387,102.0,200.0,0.51,0.547,58.0,63.0,0.921,23.0,100.0,123.0,140.0,42.0,6.0,53.0,125.0,514.0,0.0,,2024,Aaron Holiday,HOU,16.26923076923077,6.589743589743589,1.5769230769230769,1.794871794871795,True,11.5,0.578,0.52,0.151,1.9,8.5,5.2,15.4,1.6,0.4,10.6,16.7,1.3,1.2,2.5,0.094,-1.8,0.3,-1.5,0.2,True,,,,False,,,,Developing,38.65619546247818,59.68586387434554,50.0,65.70680628272252,52.159685863874344,11.124358974358975,1.0,52.159685863874344,0.9285714285714286,0,0,0.7198351648351649,5.106894030000003,,,Unknown,No_Salary_Data,No_Data,0.0,,0.0,999.0,Bench_Player,0.0,,0.0,2.0999999999999996,2.0999999999999996,0.2,0.2,18.418945123133597,18.418945123133597,5,336.0,5928.0,0.14559699580008592,0.262725323141594,0.22630075258867205,12.6,91.26984126984127,0.2,100.0,52.159685863874344,100.0,1,1.05,54.76767015706806
