Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Season,Player_Clean,Team_Clean,MPG,PPG,RPG,APG,Significant_Player,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Reliable_Advanced_Stats,Current_Salary,Salary_Tier,Salary_Millions,Has_Salary_Data,Points_Per_Million,WinShares_Per_Million,VORP_Per_Million,Career_Stage,Experience,Age_Squared,PTS_per_MP,Efficiency_Score,Top_Team,Age_Group,Performance_vs_Peers,Predicted_Value,Points_Per_Dollar,WinShares_Per_Dollar,VORP_Per_Dollar,Efficiency_Composite,Risk_Adjusted_Efficiency,Contract_Tier,Contract_Recommendation
156.0,Aaron Gordon,25.0,2TM,PF,50.0,50.0,1384.0,231.0,499.0,0.463,59.0,176.0,0.335,172.0,323.0,0.533,0.522,97.0,149.0,0.651,77.0,207.0,284.0,161.0,33.0,34.0,97.0,89.0,618.0,1.0,,2021,Aaron Gordon,2TM,27.68,12.36,5.68,3.22,True,14.5,0.547,0.353,0.299,6.0,16.4,11.1,17.8,1.2,2.3,14.7,20.7,0.7,1.2,1.9,0.066,0.2,-0.1,0.1,0.7,True,,,,False,,,,Developing,1,625.0,0.44653179190751446,4.66,True,Developing,1.2393617021276597,0.7442779570657918,61.52532633311843,0.18915553403385924,0.06968888095984288,0.09599132713929825,0.09023184751094035,Unknown,0.41
64.0,Aaron Gordon,26.0,DEN,PF,75.0,75.0,2376.0,434.0,834.0,0.52,87.0,260.0,0.335,347.0,574.0,0.605,0.573,171.0,230.0,0.743,125.0,314.0,439.0,188.0,44.0,44.0,133.0,148.0,1126.0,0.0,,2022,Aaron Gordon,DEN,31.68,15.013333333333334,5.8533333333333335,2.506666666666667,True,15.3,0.602,0.312,0.276,6.1,14.3,10.3,11.6,0.9,1.7,12.5,19.7,3.2,2.0,5.2,0.105,0.5,-1.1,-0.6,0.9,True,,,,False,,,,Developing,2,676.0,0.4739057239057239,4.7700000000000005,True,Developing,1.268617021276596,0.7685354935437874,112.09954280111869,0.5176888299874043,0.08959998980551227,0.19384545611599932,0.17833781962671938,Unknown,0.4
83.0,Aaron Gordon,27.0,DEN,PF,68.0,68.0,2055.0,429.0,761.0,0.564,60.0,173.0,0.347,369.0,588.0,0.628,0.603,191.0,314.0,0.608,164.0,282.0,446.0,203.0,54.0,51.0,98.0,129.0,1109.0,0.0,,2023,Aaron Gordon,DEN,30.22058823529412,16.308823529411764,6.5588235294117645,2.985294117647059,True,19.5,0.617,0.227,0.413,9.4,15.4,12.5,14.2,1.3,2.2,9.8,21.1,4.6,2.2,6.8,0.158,2.4,-0.3,2.1,2.1,True,,,,False,,,,Developing,3,729.0,0.5396593673965937,7.319999999999999,True,Developing,1.9468085106382977,1.1941546257392999,110.40709854923679,0.6769777007527593,0.20906664287952864,0.2538235760012493,0.22844121840112436,Unknown,0.39
93.0,Aaron Gordon,28.0,DEN,PF,73.0,73.0,2297.0,398.0,716.0,0.556,40.0,138.0,0.29,358.0,578.0,0.619,0.584,177.0,269.0,0.658,174.0,297.0,471.0,259.0,56.0,45.0,105.0,142.0,1013.0,0.0,,2024,Aaron Gordon,DEN,31.46575342465753,13.876712328767123,6.452054794520548,3.547945205479452,True,16.8,0.607,0.193,0.376,8.6,13.9,11.4,15.2,1.2,1.7,11.2,17.8,4.5,2.6,7.1,0.148,1.2,0.1,1.3,1.9,True,,,,False,,,,Prime,4,784.0,0.44101001306051374,6.1899999999999995,True,Prime,1.4197247706422018,0.8589587566902293,100.84976630331548,0.7068443640212635,0.18915553403385924,0.24645513948201797,0.21688052274417582,Unknown,0.48
139.0,Aaron Gordon,29.0,DEN,PF,51.0,42.0,1447.0,264.0,497.0,0.531,75.0,172.0,0.436,189.0,325.0,0.582,0.607,145.0,179.0,0.81,80.0,167.0,247.0,164.0,23.0,14.0,73.0,82.0,748.0,0.0,,2025,Aaron Gordon,DEN,28.37254901960784,14.666666666666666,4.8431372549019605,3.215686274509804,True,17.0,0.65,0.346,0.36,6.4,12.1,9.4,15.0,0.8,0.9,11.3,19.0,3.6,0.7,4.3,0.143,2.7,-1.5,1.2,1.2,True,22841455.0,Star,22.841455,True,32.74747602549838,0.1882542070984532,0.0525360577949171,Prime,5,841.0,0.5169315825846579,5.9399999999999995,True,Prime,1.3623853211009176,0.8186689460373303,32.74747602549838,0.18825420709845322,0.05253605779491718,0.07044893971102716,0.06058608815148335,Overpaid,0.21
574.0,Aaron Henry,22.0,PHI,SF,6.0,0.0,17.0,1.0,5.0,0.2,0.0,1.0,0.0,1.0,4.0,0.25,0.2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,,2022,Aaron Henry,PHI,2.833333333333333,0.3333333333333333,0.1666666666666666,0.0,False,0.0,0.2,0.2,0.0,0.0,6.5,3.3,0.0,0.0,10.6,28.6,18.5,-0.1,0.0,-0.1,-0.306,-14.0,-2.4,-15.0,-0.1,False,,,,False,,,,Rookie/Young,2,484.0,0.11764705882352941,-4.54,False,Rookie/Young,-1.860655737704918,-0.21326001850392673,0.19911108845669392,-0.009955554422834698,-0.009955554422834698,-0.004389654085761432,-0.004389654085761432,Unknown,0.0
151.0,Aaron Holiday,23.0,IND,PG,66.0,33.0,1617.0,233.0,563.0,0.414,87.0,221.0,0.394,146.0,342.0,0.427,0.491,74.0,87.0,0.851,22.0,134.0,156.0,225.0,55.0,16.0,88.0,120.0,627.0,0.0,,2020,Aaron Holiday,IND,24.5,9.5,2.363636363636364,3.409090909090909,True,11.6,0.521,0.393,0.155,1.5,9.0,5.3,19.1,1.7,0.9,12.8,18.7,0.4,1.7,2.1,0.063,-1.6,0.0,-1.6,0.2,True,,,,False,,,,Rookie/Young,0,529.0,0.3877551020408163,3.08,True,Rookie/Young,1.0232558139534884,0.619287428543352,62.42132623117355,0.20906664287952864,0.019911108845669396,0.08588180255547923,0.08416416650436964,Unknown,0.43
203.0,Aaron Holiday,24.0,IND,PG,66.0,8.0,1176.0,170.0,436.0,0.39,67.0,182.0,0.368,103.0,254.0,0.406,0.467,68.0,83.0,0.819,15.0,74.0,89.0,123.0,46.0,13.0,66.0,94.0,475.0,0.0,,2021,Aaron Holiday,IND,17.818181818181817,7.196969696969697,1.3484848484848484,1.8636363636363635,True,9.2,0.503,0.417,0.19,1.4,6.8,4.1,14.0,1.8,0.9,12.3,19.5,-0.6,0.8,0.2,0.009,-3.3,-0.9,-4.2,-0.7,True,,,,False,,,,Developing,1,576.0,0.4039115646258503,1.2199999999999998,True,Developing,0.3315217391304347,0.19665940859085057,47.288883508464814,0.019911108845669396,-0.06968888095984288,0.017297744804521058,0.016605835012340215,Unknown,0.0
263.0,Aaron Holiday,25.0,2TM,PG,63.0,15.0,1021.0,151.0,338.0,0.447,39.0,103.0,0.379,112.0,235.0,0.477,0.504,59.0,68.0,0.868,24.0,98.0,122.0,153.0,42.0,9.0,67.0,92.0,400.0,0.0,,2022,Aaron Holiday,2TM,16.206349206349206,6.349206349206349,1.9365079365079363,2.4285714285714284,True,12.6,0.544,0.305,0.201,2.6,10.3,6.5,20.7,2.0,0.7,15.4,18.7,0.5,0.9,1.5,0.068,-1.9,0.3,-1.7,0.1,True,,,,False,,,,Developing,2,625.0,0.3917727717923604,3.3099999999999996,True,Developing,0.8994565217391303,0.5402234035224897,39.822217691338786,0.14933331634252045,0.009955554422834698,0.056735234371702456,0.05333112030940031,Unknown,0.62
326.0,Aaron Holiday,26.0,ATL,PG,63.0,6.0,845.0,92.0,220.0,0.418,36.0,88.0,0.409,56.0,132.0,0.424,0.5,27.0,32.0,0.844,25.0,49.0,74.0,89.0,37.0,12.0,36.0,79.0,247.0,0.0,,2023,Aaron Holiday,ATL,13.412698412698411,3.920634920634921,1.1746031746031746,1.4126984126984128,True,9.4,0.528,0.4,0.145,3.2,6.4,4.8,13.0,2.1,1.2,13.3,13.4,0.3,0.6,0.9,0.053,-2.9,0.9,-2.0,0.0,True,,,,False,,,,Developing,3,676.0,0.2923076923076923,2.2199999999999998,False,Developing,0.6032608695652173,0.37271970259024145,24.590219424401702,0.08959998980551227,0.0,0.03283975172283013,0.03021257158500372,Unknown,0.1
216.0,Aaron Holiday,27.0,HOU,PG,78.0,1.0,1269.0,186.0,417.0,0.446,84.0,217.0,0.387,102.0,200.0,0.51,0.547,58.0,63.0,0.921,23.0,100.0,123.0,140.0,42.0,6.0,53.0,125.0,514.0,0.0,,2024,Aaron Holiday,HOU,16.26923076923077,6.589743589743589,1.5769230769230769,1.794871794871795,True,11.5,0.578,0.52,0.151,1.9,8.5,5.2,15.4,1.6,0.4,10.6,16.7,1.3,1.2,2.5,0.094,-1.8,0.3,-1.5,0.2,True,,,,False,,,,Developing,4,729.0,0.40504334121355395,3.08,False,Developing,0.8369565217391304,0.49034048026987725,51.17154973337034,0.24888886057086743,0.019911108845669396,0.08466879957120643,0.07620191961408579,Unknown,0.46
292.0,Aaron Holiday,28.0,HOU,PG,62.0,3.0,792.0,117.0,268.0,0.437,72.0,181.0,0.398,45.0,87.0,0.517,0.571,34.0,41.0,0.829,13.0,65.0,78.0,83.0,19.0,11.0,37.0,64.0,340.0,0.0,,2025,Aaron Holiday,HOU,12.774193548387096,5.483870967741935,1.2580645161290325,1.3387096774193548,True,12.2,0.594,0.675,0.153,1.7,8.9,5.2,14.3,1.2,1.2,11.5,16.8,1.2,0.8,2.0,0.122,-0.4,0.1,-0.2,0.3,True,,,,False,,,,Prime,5,784.0,0.4292929292929293,3.7199999999999998,False,Prime,1.0108695652173914,0.604057621319418,33.84888503763797,0.19911108845669392,0.02986666326850409,0.06664490799594644,0.058647519036432866,Unknown,0.41
343.0,Aaron Nesmith,21.0,BOS,SF,46.0,1.0,669.0,78.0,178.0,0.438,40.0,108.0,0.37,38.0,70.0,0.543,0.551,22.0,28.0,0.786,28.0,99.0,127.0,23.0,15.0,9.0,23.0,87.0,218.0,0.0,,2021,Aaron Nesmith,BOS,14.543478260869565,4.739130434782608,2.760869565217391,0.5,True,9.4,0.573,0.607,0.157,4.6,16.6,10.6,4.6,1.1,1.3,10.8,13.7,0.5,0.6,1.1,0.076,-2.8,-0.4,-3.2,-0.2,True,,,,False,,,,Rookie/Young,1,441.0,0.32585949177877427,1.7799999999999998,True,Rookie/Young,0.7295081967213114,0.41965015644414855,21.70310864177964,0.10951109865118168,-0.019911108845669396,0.028524289793958203,0.029094775589837366,Unknown,0.49
363.0,Aaron Nesmith,22.0,BOS,SF,52.0,3.0,574.0,72.0,182.0,0.396,31.0,115.0,0.27,41.0,67.0,0.612,0.481,21.0,26.0,0.808,15.0,74.0,89.0,22.0,20.0,5.0,31.0,70.0,196.0,0.0,,2022,Aaron Nesmith,BOS,11.038461538461538,3.769230769230769,1.7115384615384617,0.4230769230769231,True,7.3,0.507,0.632,0.143,2.9,13.6,8.4,5.4,1.7,0.8,13.8,17.2,-0.4,0.9,0.4,0.038,-4.9,0.7,-4.3,-0.3,True,,,,False,,,,Rookie/Young,2,484.0,0.34146341463414637,0.7800000000000001,True,Rookie/Young,0.31967213114754106,0.18272936053227964,19.512886668756007,0.03982221769133879,-0.02986666326850409,0.012223261116984218,0.012223261116984218,Unknown,0.01
142.0,Aaron Nesmith,23.0,IND,SF,73.0,60.0,1816.0,252.0,590.0,0.427,115.0,314.0,0.366,137.0,276.0,0.496,0.525,119.0,142.0,0.838,62.0,215.0,277.0,98.0,55.0,34.0,75.0,235.0,738.0,0.0,,2023,Aaron Nesmith,IND,24.876712328767123,10.10958904109589,3.7945205479452055,1.3424657534246576,True,10.5,0.566,0.532,0.241,3.8,13.1,8.5,7.4,1.4,1.6,10.3,16.8,0.9,1.1,2.0,0.052,-2.3,-0.7,-3.0,-0.4,True,,,,False,,,,Rookie/Young,3,529.0,0.4063876651982379,2.09,True,Rookie/Young,0.8565573770491803,0.5209306404253692,73.47199164052006,0.19911108845669392,-0.03982221769133879,0.07507591214517495,0.07357439390227145,Unknown,0.54
117.0,Aaron Nesmith,24.0,IND,SF,72.0,47.0,1995.0,315.0,635.0,0.496,140.0,334.0,0.419,175.0,301.0,0.581,0.606,107.0,137.0,0.781,63.0,212.0,275.0,108.0,65.0,49.0,64.0,241.0,877.0,0.0,,2024,Aaron Nesmith,IND,27.70833333333333,12.180555555555555,3.8194444444444446,1.5,True,12.8,0.631,0.526,0.216,3.6,12.0,7.8,6.6,1.5,2.0,8.4,16.0,2.8,1.3,4.1,0.098,-0.3,-0.2,-0.5,0.8,True,,,,False,,,,Developing,4,576.0,0.4395989974937343,4.01,True,Developing,1.3322259136212622,0.7976835447883378,87.31021228826029,0.40817773133622254,0.07964443538267758,0.15463082120887234,0.14844558836051744,Unknown,0.61
215.0,Aaron Nesmith,25.0,IND,SF,45.0,37.0,1123.0,192.0,379.0,0.507,84.0,195.0,0.431,108.0,184.0,0.587,0.617,73.0,80.0,0.913,37.0,141.0,178.0,54.0,35.0,17.0,37.0,114.0,541.0,0.0,,2025,Aaron Nesmith,IND,24.95555555555556,12.022222222222222,3.955555555555556,1.2,True,14.6,0.653,0.515,0.211,3.7,13.9,8.8,6.6,1.5,1.4,8.2,17.4,1.9,1.0,2.9,0.126,0.0,-0.5,-0.5,0.4,True,11000000.0,Role Player,11.0,True,49.18181818181818,0.2636363636363636,0.0363636363636363,Developing,5,625.0,0.4817453250222618,4.39,True,Developing,1.4584717607973419,0.8720184969577293,49.18181818181818,0.2636363636363636,0.03636363636363637,0.09044805623587078,0.08502117286171852,Overpaid,0.39
255.0,Aaron Wiggins,23.0,OKC,SG,50.0,35.0,1209.0,156.0,337.0,0.463,42.0,138.0,0.304,114.0,199.0,0.573,0.525,62.0,85.0,0.729,51.0,127.0,178.0,68.0,30.0,10.0,54.0,93.0,416.0,0.0,,2022,Aaron Wiggins,OKC,24.18,8.32,3.56,1.36,True,10.3,0.556,0.409,0.252,4.3,11.0,7.6,8.5,1.2,0.8,12.6,15.3,0.5,0.8,1.2,0.048,-3.4,-0.9,-4.3,-0.7,True,,,,False,,,,Rookie/Young,2,529.0,0.34408602150537637,1.5200000000000005,True,Rookie/Young,0.684684684684685,0.4175438829319504,41.415106398992336,0.11946665307401635,-0.06968888095984288,0.030124934871557214,0.02952243617412607,Unknown,0.27
235.0,Aaron Wiggins,24.0,OKC,SG,70.0,14.0,1297.0,186.0,363.0,0.512,48.0,122.0,0.393,138.0,241.0,0.573,0.579,59.0,71.0,0.831,68.0,142.0,210.0,80.0,39.0,15.0,55.0,110.0,479.0,0.0,,2023,Aaron Wiggins,OKC,18.52857142857143,6.842857142857143,3.0,1.1428571428571428,True,12.2,0.607,0.336,0.196,5.5,12.0,8.7,8.3,1.4,1.1,12.2,14.5,1.4,1.2,2.6,0.097,-1.5,-0.5,-2.1,0.0,True,,,,False,,,,Developing,3,576.0,0.36931380107941403,3.03,True,Developing,0.9439252336448598,0.5807980565728941,47.6871056853782,0.25884441499370214,0.0,0.078226187313126,0.07509713982060096,Unknown,0.75
202.0,Aaron Wiggins,25.0,OKC,SG,78.0,4.0,1228.0,212.0,377.0,0.562,62.0,126.0,0.492,150.0,251.0,0.598,0.645,56.0,71.0,0.789,60.0,126.0,186.0,86.0,56.0,19.0,56.0,91.0,542.0,0.0,,2024,Aaron Wiggins,OKC,15.743589743589745,6.948717948717949,2.3846153846153846,1.1025641025641026,True,15.6,0.664,0.334,0.188,5.7,11.0,8.4,9.3,2.2,1.4,12.1,16.4,2.1,1.6,3.7,0.144,0.4,0.4,0.7,0.8,True,,,,False,,,,Developing,4,625.0,0.44136807817589574,5.21,True,Developing,1.6230529595015577,0.9565990603984026,53.959104971764056,0.3683555136448838,0.07964443538267758,0.12405346852237233,0.11661026041102998,Unknown,0.78
98.0,Aaron Wiggins,26.0,OKC,SG,76.0,26.0,1744.0,355.0,728.0,0.488,130.0,339.0,0.383,225.0,389.0,0.578,0.577,74.0,89.0,0.831,81.0,214.0,295.0,134.0,60.0,18.0,69.0,101.0,914.0,0.0,,2025,Aaron Wiggins,OKC,22.94736842105263,12.026315789473683,3.881578947368421,1.763157894736842,True,16.1,0.596,0.466,0.122,5.1,12.9,9.1,10.6,1.7,1.0,8.3,20.3,2.7,2.7,5.4,0.148,1.3,-0.2,1.1,1.4,True,9672897.0,Role Player,9.672897,True,94.49082317324375,0.5582608808922498,0.1447343024535462,Developing,5,676.0,0.5240825688073395,5.72,True,Developing,1.7819314641744548,1.0965551918600163,94.49082317324375,0.5582608808922498,0.1447343024535462,0.20390182168710153,0.1875896759521334,Fair,0.76
262.0,Abdel Nader,26.0,OKC,SF,55.0,6.0,867.0,123.0,263.0,0.468,48.0,128.0,0.375,75.0,135.0,0.556,0.559,51.0,66.0,0.773,14.0,86.0,100.0,38.0,23.0,20.0,43.0,78.0,345.0,0.0,,2020,Abdel Nader,OKC,15.763636363636364,6.2727272727272725,1.818181818181818,0.6909090909090909,True,11.3,0.591,0.487,0.251,1.8,10.6,6.4,6.4,1.3,2.0,12.8,17.0,0.5,0.9,1.3,0.074,-1.2,0.2,-1.0,0.2,True,,,,False,,,,Developing,0,676.0,0.39792387543252594,3.1700000000000004,True,Developing,1.0531561461794021,0.634430607263665,34.34666275877971,0.12942220749685107,0.019911108845669396,0.052259815933059214,0.04807903065841448,Unknown,0.48
367.0,Abdel Nader,27.0,PHO,SF,24.0,0.0,355.0,57.0,116.0,0.491,18.0,43.0,0.419,39.0,73.0,0.534,0.569,28.0,37.0,0.757,7.0,55.0,62.0,19.0,10.0,9.0,19.0,34.0,160.0,0.0,,2021,Abdel Nader,PHX,14.791666666666666,6.666666666666667,2.583333333333333,0.7916666666666666,True,13.4,0.605,0.371,0.319,2.3,17.3,9.9,7.3,1.4,2.3,12.6,19.0,0.3,0.4,0.7,0.095,-1.0,1.0,0.0,0.2,True,,,,False,,,,Developing,1,729.0,0.4507042253521127,4.1,False,Developing,1.362126245847176,0.822459632388775,15.928887076535515,0.06968888095984288,0.019911108845669396,0.02892378227266268,0.026031404045396413,Unknown,0.31
486.0,Abdel Nader,28.0,PHO,SF,14.0,0.0,145.0,12.0,35.0,0.343,4.0,14.0,0.286,8.0,21.0,0.381,0.4,6.0,10.0,0.6,4.0,23.0,27.0,7.0,8.0,4.0,11.0,20.0,34.0,0.0,,2022,Abdel Nader,PHX,10.357142857142858,2.4285714285714284,1.9285714285714288,0.5,True,4.9,0.431,0.4,0.286,3.0,16.6,10.0,5.9,2.7,2.5,21.8,15.0,-0.3,0.3,0.0,-0.009,-7.1,2.2,-4.9,-0.1,False,,,,False,,,,Prime,2,784.0,0.23448275862068965,-0.04000000000000001,False,Prime,-0.012480499219968801,-0.010928639642029104,3.384888503763797,0.0,-0.009955554422834698,-0.00041752775780270514,-0.0003674244268663805,Unknown,0.0
