Rk,Player,Tm,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed,Player_Clean,Team_Clean,Current_Salary,Salary_Tier,Salary_Millions,Has_Salary_Data,Multi_Year_Contract,Total_Contract_Value
52,Jrue Holiday,POR,32400000,34800000,,,,,"$67,200,000",Jrue Holiday,POR,32400000,Superstar,32.4,True,True,67200000.0
53,Jerami Grant,POR,32000001,34206898,,,,,"$66,206,899",Jerami Grant,POR,32000001,Superstar,32.000001,True,True,66206899.0
54,Jordan Poole,NOP,31848215,34044642,,,,,"$65,892,857",Jordan Poole,NOR,31848215,Superstar,31.848215,True,True,65892857.0
55,Dejounte Murray,NOP,31557103,33597072,,,,,"$65,154,175",Dejounte Murray,NOR,31557103,Superstar,31.557103,True,True,65154175.0
56,Tyler Herro,MIA,31000000,33000000,,,,,"$64,000,000",Tyler Herro,MIA,31000000,Superstar,31.0,True,True,64000000.0
59,Jalen Johnson,ATL,30000000,30000000,,,,,"$150,000,000",Jalen Johnson,ATL,30000000,Star,30.0,True,True,60000000.0
60,Isaiah Hartenstein,OKC,28500000,28500000,,,,,"$28,500,000",Isaiah Hartenstein,OKC,28500000,Star,28.5,True,True,57000000.0
61,Andrew Wiggins,MIA,28223215,30169644,,,,,"$28,223,215",Andrew Wiggins,MIA,28223215,Star,28.223215,True,True,58392859.0
62,Derrick White,BOS,28100000,30348000,,,,,"$91,044,000",Derrick White,BOS,28100000,Star,28.1,True,True,58448000.0
63,RJ Barrett,TOR,27705357,29616071,,,,,"$57,321,428",RJ Barrett,TOR,27705357,Star,27.705357,True,True,57321428.0
65,Devin Vassell,SAS,27000000,27000000,,,,,"$105,652,174",Devin Vassell,SAS,27000000,Star,27.0,True,True,54000000.0
69,Draymond Green,GSW,25892857,27678571,,,,,"$53,571,428",Draymond Green,GSW,25892857,Star,25.892857,True,True,53571428.0
70,Nic Claxton,BRK,25352272,23147727,,,,,"$69,443,183",Nic Claxton,BKN,25352272,Star,25.352272,True,True,48499999.0
71,Trey Murphy III,NOP,25000000,27000000,,,,,"$112,000,000",Trey Murphy III,NOR,25000000,Star,25.0,True,True,52000000.0
72,Miles Bridges,CHO,25000000,22826087,,,,,"$47,826,087",Miles Bridges,CHA,25000000,Star,25.0,True,True,47826087.0
74,Jaden McDaniels,MIN,24858622,26700001,,,,,"$110,482,758",Jaden McDaniels,MIN,24858622,Star,24.858622,True,True,51558623.0
75,DeMar DeRozan,SAC,24570000,25740000,,,,,"$24,570,000",DeMar DeRozan,SAC,24570000,Star,24.57,True,True,50310000.0
76,De'Andre Hunter,CLE,23303571,24910714,,,,,"$48,214,285",De'Andre Hunter,CLE,23303571,Star,23.303571,True,True,48214285.0
77,Aaron Gordon,DEN,22841455,31978037,,,,,"$89,355,772",Aaron Gordon,DEN,22841455,Star,22.841455,True,True,54819492.0
78,Kyle Kuzma,MIL,22410605,20345152,,,,,"$42,755,757",Kyle Kuzma,MIL,22410605,Star,22.410605,True,True,42755757.0
79,Kentavious Caldwell-Pope,MEM,21621500,21621500,,,,,"$21,621,500",Kentavious Caldwell-Pope,MEM,21621500,Star,21.6215,True,True,43243000.0
82,Dillon Brooks,PHO,21124110,19992727,,,,,"$41,116,837",Dillon Brooks,PHX,21124110,Star,21.12411,True,True,41116837.0
83,Cameron Johnson,DEN,20543478,22500000,,,,,"$43,043,478",Cameron Johnson,DEN,20543478,Star,20.543478,True,True,43043478.0
85,Jarrett Allen,CLE,20000000,28000000,,,,,"$110,720,000",Jarrett Allen,CLE,20000000,Star,20.0,True,True,48000000.0
86,Jakob Poeltl,TOR,19500000,19500000,,,,,"$39,000,000",Jakob Poeltl,TOR,19500000,Star,19.5,True,True,39000000.0
87,Josh Hart,NYK,19472240,20923760,,,,,"$40,396,000",Josh Hart,NYK,19472240,Star,19.47224,True,True,40396000.0
91,Malik Monk,SAC,18797619,20190035,,,,,"$38,987,654",Malik Monk,SAC,18797619,Star,18.797619,True,True,38987654.0
93,Alex Caruso,OKC,18102000,19550160,,,,,"$81,096,960",Alex Caruso,OKC,18102000,Star,18.102,True,True,37652160.0
94,Ivica Zubac,LAC,18102000,19550160,,,,,"$58,650,480",Ivica Zubac,LAC,18102000,Star,18.102,True,True,37652160.0
